Operations;Binary adding;AA adding;Binary searching;AA searching;Binary deleting;AA deleting
100;0.000049;0.000121;0.000016;0.000021;0.000019;0.000067
200;0.000071;0.000078;0.000039;0.000040;0.000068;0.000167
300;0.000133;0.000213;0.000061;0.000090;0.000076;0.000243
400;0.000180;0.000182;0.000058;0.000137;0.000122;0.000223
500;0.000160;0.000200;0.000076;0.000103;0.000099;0.000197
600;0.000249;0.000347;0.000092;0.000124;0.000100;0.000258
700;0.000216;0.000249;0.000100;0.000138;0.000100;0.000212
800;0.000233;0.000277;0.000118;0.000158;0.000115;0.000245
900;0.000274;0.000449;0.000143;0.000177;0.000138;0.000237
1000;0.000293;0.000349;0.000146;0.000196;0.000136;0.000226
